Data;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
08/2014;485.840,1
09/2014;486.008,1
10/2014;502.681,5
11/2014;498.142,8
12/2014;508.051,2
01/2015;480.722,6
02/2015;466.594,2
03/2015;508.072,8
04/2015;493.282,4
05/2015;491.520,7
06/2015;496.322,5
07/2015;511.662,9
08/2015;501.668,2
09/2015;496.427,8
10/2015;518.600,9
11/2015;513.648,8
12/2015;522.046,8
01/2016;490.182,2
02/2016;490.985,4
03/2016;517.207,1
04/2016;508.033,2
05/2016;513.202,7
06/2016;536.485,9
07/2016;532.947,8
08/2016;534.724,3
09/2016;512.532,3
10/2016;526.704,6
11/2016;540.788,5
12/2016;563.100,8
01/2017;526.983,2
02/2017;517.226,2
03/2017;550.253,0
04/2017;529.298,8
05/2017;551.987,9
06/2017;558.024,0
07/2017;546.682,8
08/2017;547.221,6
09/2017;525.441,4
Fonte;BCB-Depec
