Data,commodity,ibovespa,juros,inflacao,indust
06/2012,125.37,-0.25,0.64,0.08,98.3
07/2012,135.17,3.21,0.68,0.43,104.5
08/2012,135.05,1.72,0.69,0.41,111.5
09/2012,135.45,3.7,0.54,0.57,103.4
10/2012,134.49,-3.56,0.61,0.59,111.8
11/2012,135.41,0.71,0.55,0.6,104.8
12/2012,137.4,6.05,0.55,0.79,92.2
01/2013,135.46,-1.95,0.6,0.86,94.5
02/2013,131.44,-3.91,0.49,0.6,88.1
03/2013,129.05,-1.87,0.55,0.47,97.7
04/2013,126.56,-0.78,0.61,0.55,101.8
05/2013,127.26,-4.3,0.6,0.37,105
06/2013,134.06,-11.31,0.61,0.26,101.7
07/2013,137.1,1.64,0.72,0.03,108
08/2013,142.27,3.68,0.71,0.24,112
09/2013,138.26,4.65,0.71,0.35,107.3
10/2013,134.56,3.66,0.81,0.57,112.6
11/2013,138.24,-3.27,0.72,0.54,106.1
12/2013,141.69,-1.86,0.79,0.92,90.1
01/2014,143.73,-7.51,0.85,0.55,92.6
02/2014,149.87,-1.14,0.79,0.69,92.3
03/2014,151.9,7.05,0.77,0.92,97.3
04/2014,148.06,2.4,0.82,0.67,96
05/2014,145.16,-0.75,0.87,0.46,101.7
06/2014,142.97,3.76,0.82,0.4,94.9
07/2014,140.32,5,0.95,0.01,104.4
08/2014,138.44,9.78,0.87,0.25,106.3
09/2014,139.83,-11.7,0.91,0.57,105.6
10/2014,146.85,0.95,0.95,0.42,109.3
11/2014,151.32,0.18,0.84,0.51,99.8
12/2014,149.44,-8.62,0.96,0.78,87.7
01/2015,141.76,-6.2,0.94,1.24,88.1
02/2015,148.81,9.97,0.82,1.22,83.7
03/2015,160.54,-0.84,1.04,1.32,94.3
04/2015,157.11,9.93,0.95,0.71,88.8
05/2015,158.3,-6.17,0.99,0.74,93.1
06/2015,158.28,0.61,1.07,0.79,92.5
07/2015,162.67,-4.17,1.18,0.62,95.5
08/2015,169.87,-8.33,1.11,0.22,97.6
09/2015,186.75,-3.36,1.11,0.54,94.3
10/2015,189.34,1.8,1.11,0.82,97.2
11/2015,179.18,-1.63,1.06,1.01,87.6
12/2015,181.47,-3.93,1.16,0.96,77.2
01/2016,186.87,-6.79,1.06,1.27,76.2
02/2016,184.11,5.91,1,0.9,75.8
03/2016,176,16.97,1.16,0.43,83.7
04/2016,170.56,7.7,1.06,0.61,83
05/2016,173.06,-10.09,1.11,0.78,86.3
06/2016,173.09,6.3,1.16,0.35,87.7
07/2016,163.2,11.22,1.11,0.52,89.6
08/2016,158.96,1.03,1.22,0.44,93
09/2016,161.88,0.8,1.11,0.08,90.6
10/2016,162.04,11.23,1.05,0.26,90.2
11/2016,172.03,-4.65,1.04,0.18,86.6
12/2016,171.83,-2.71,1.12,0.3,77.2
01/2017,169.88,7.38,1.09,0.38,77.6
02/2017,165.86,3.08,0.87,0.33,75.5
03/2017,162.01,-2.52,1.05,0.25,85.3
04/2017,160.31,0.64,0.79,0.14,79.5
05/2017,165.03,-4.12,0.93,0.31,90.1
06/2017,164.98,0.3,0.81,-0.23,88.4
07/2017,163.96,4.8,0.8,0.24,92.3
08/2017,160.25,7.46,0.8,0.19,96.7
