Data;7832 - Ibovespa - Variação percentual mensal - %
03/2015;-0,84
04/2015;9,93
05/2015;-6,17
06/2015;0,61
07/2015;-4,17
08/2015;-8,33
09/2015;-3,36
10/2015;1,80
11/2015;-1,63
12/2015;-3,93
01/2016;-6,79
02/2016;5,91
03/2016;16,97
04/2016;7,70
05/2016;-10,09
06/2016;6,30
07/2016;11,22
08/2016;1,03
09/2016;0,80
10/2016;11,23
11/2016;-4,65
12/2016;-2,71
01/2017;7,38
02/2017;3,08
03/2017;-2,52
04/2017;0,64
05/2017;-4,12
06/2017;0,30
07/2017;4,80
08/2017;7,46
09/2017;4,88
Fonte;BM&FBOVESPA
